model,checkpoint,architecture,degradation,severity,parameter_name,parameter_value,images,top1_accuracy,macro_f1,clean_top1_accuracy,clean_macro_f1,top1_drop,macro_f1_drop,relative_top1_retention,relative_f1_retention
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_noise,4,sigma,0.2,5000,0.1512,0.1648111297374037,0.777,0.7763511237175496,0.6258,0.6115399939801458,0.19459459459459458,0.2122894199575667
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_blur,1,sigma,0.8,5000,0.7316,0.7309061174794992,0.777,0.7763511237175496,0.045399999999999996,0.04544500623805037,0.9415701415701416,0.9414633342443849
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_blur,2,sigma,1.5,5000,0.622,0.6190217753486359,0.777,0.7763511237175496,0.15500000000000003,0.15732934836891366,0.8005148005148005,0.7973476902879413
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_blur,3,sigma,2.5,5000,0.438,0.4394853378704303,0.777,0.7763511237175496,0.339,0.33686578584711924,0.5637065637065637,0.5660909406119736
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_blur,4,sigma,4.0,5000,0.2206,0.2217977255557215,0.777,0.7763511237175496,0.5564,0.554553398161828,0.2839124839124839,0.2856925414027165
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,motion_blur,1,kernel_size,3.0,5000,0.7272,0.7262119627681382,0.777,0.7763511237175496,0.049800000000000066,0.0501391609494114,0.9359073359073358,0.9354169016857726
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,motion_blur,2,kernel_size,7.0,5000,0.5462,0.5504041972353867,0.777,0.7763511237175496,0.2308,0.22594692648216286,0.7029601029601029,0.7089629684565686
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,motion_blur,3,kernel_size,11.0,5000,0.3636,0.3733690213590422,0.777,0.7763511237175496,0.41340000000000005,0.40298210235850734,0.4679536679536679,0.4809280362359346
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,motion_blur,4,kernel_size,17.0,5000,0.1892,0.1934989820021265,0.777,0.7763511237175496,0.5878,0.5828521417154231,0.24350064350064352,0.24924158166418126
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,jpeg_compression,1,quality,80.0,5000,0.7588,0.7585887680238271,0.777,0.7763511237175496,0.018199999999999994,0.01776235569372242,0.9765765765765766,0.9771207187687607
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,jpeg_compression,2,quality,60.0,5000,0.7356,0.7357816737902615,0.777,0.7763511237175496,0.04139999999999999,0.04056944992728806,0.9467181467181467,0.9477434260247842
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,jpeg_compression,3,quality,40.0,5000,0.7118,0.7132004182800675,0.777,0.7763511237175496,0.06520000000000004,0.06315070543748202,0.916087516087516,0.9186570309384168
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,jpeg_compression,4,quality,20.0,5000,0.6256,0.6301644439902202,0.777,0.7763511237175496,0.15139999999999998,0.14618667972732935,0.8051480051480052,0.8117003051050974
